2024.03.16 09:29:51 AM INFO | __name__ | 211 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.16 09:31:45 AM INFO | __name__ | 173 | play | Function firstRoll() being called from play()
2024.03.16 09:32:40 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 09:32:40 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 09:33:08 AM INFO | __name__ | 211 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.16 09:33:12 AM INFO | __name__ | 248 | make_choice | Function make_choice() started
2024.03.16 09:33:16 AM INFO | __name__ | 173 | play | Function firstRoll() being called from play()
2024.03.16 09:34:12 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 09:34:12 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 09:36:17 AM INFO | __name__ | 211 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.16 09:36:23 AM INFO | __name__ | 248 | make_choice | Function make_choice() started
2024.03.16 09:37:01 AM INFO | __name__ | 173 | play | Function firstRoll() being called from play()
2024.03.16 09:37:18 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 09:37:18 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 09:37:34 AM INFO | __name__ | 211 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.16 09:37:40 AM INFO | __name__ | 248 | make_choice | Function make_choice() started
2024.03.16 09:38:02 AM INFO | __name__ | 173 | play | Function firstRoll() being called from play()
2024.03.16 09:45:38 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 09:45:42 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 09:46:18 AM INFO | __name__ | 211 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.16 09:46:22 AM INFO | __name__ | 248 | make_choice | Function make_choice() started
2024.03.16 09:46:29 AM INFO | __name__ | 173 | play | Function firstRoll() being called from play()
2024.03.16 09:59:50 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 09:59:50 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 10:00:01 AM INFO | __name__ | 211 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.16 10:00:09 AM INFO | __name__ | 248 | make_choice | Function make_choice() started
2024.03.16 10:00:11 AM INFO | __name__ | 253 | make_choice | Function make_choice() called successfully
2024.03.16 10:01:39 AM INFO | __name__ | 294 | make_choice | Roll1 Discards: 
2024.03.16 10:01:58 AM INFO | __name__ | 299 | make_choice | Function score() called successfully
2024.03.16 10:20:31 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 10:20:36 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 10:21:10 AM INFO | __name__ | 211 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.16 10:21:13 AM INFO | __name__ | 248 | make_choice | Function make_choice() started
2024.03.16 10:21:13 AM INFO | __name__ | 253 | make_choice | Function make_choice() called successfully
2024.03.16 10:22:55 AM INFO | __name__ | 294 | make_choice | Roll1 Discards: 
2024.03.16 10:23:10 AM INFO | __name__ | 299 | make_choice | Function score() called successfully
2024.03.16 01:25:24 PM INFO | __name__ | 187 | play | New game started.
2024.03.16 01:25:24 PM INFO | __name__ | 191 | play | Function firstRoll() being called from play()
2024.03.16 01:25:24 PM INFO | __name__ | 213 | firstRoll | Function firstRoll() called successfully
2024.03.16 01:25:42 PM INFO | __name__ | 234 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.16 01:25:53 PM INFO | __name__ | 271 | make_choice | Function make_choice() started
2024.03.16 01:25:57 PM INFO | __name__ | 276 | make_choice | Function make_choice() called successfully
2024.03.16 01:26:54 PM INFO | __name__ | 187 | play | New game started.
2024.03.16 01:26:54 PM INFO | __name__ | 191 | play | Function firstRoll() being called from play()
2024.03.16 01:26:54 PM INFO | __name__ | 213 | firstRoll | Function firstRoll() called successfully
2024.03.16 01:27:08 PM INFO | __name__ | 234 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.16 01:27:10 PM INFO | __name__ | 271 | make_choice | Function make_choice() started
2024.03.16 01:27:14 PM INFO | __name__ | 276 | make_choice | Function make_choice() called successfully
2024.03.16 01:28:32 PM INFO | __name__ | 317 | make_choice | Roll1 Discards: 
2024.03.16 01:28:57 PM INFO | __name__ | 322 | make_choice | Function score() called successfully
2024.03.16 04:14:49 PM INFO | __name__ | 187 | play | New game started.
2024.03.16 04:14:49 PM INFO | __name__ | 191 | play | Function firstRoll() being called from play()
2024.03.16 04:14:49 PM INFO | __name__ | 213 | firstRoll | Function firstRoll() called successfully
2024.03.16 04:15:28 PM INFO | __name__ | 234 | firstRoll | Function make_choice() being called from firstroll() - roll1
2024.03.16 04:15:34 PM INFO | __name__ | 271 | make_choice | Function make_choice() started
2024.03.16 04:15:42 PM INFO | __name__ | 276 | make_choice | Function make_choice() called successfully
2024.03.16 04:17:14 PM INFO | __name__ | 317 | make_choice | Roll1 Discards: 
2024.03.20 07:48:56 PM INFO | __name__ | 208 | play | New game started.
